Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,"Weapon Accuracy, %","Crit Accuracy, %",Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,Final Blows / 10min,Solo Kills / 10min,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Scoped Crits,Recon Assists / 10min,Venom Mine Kills / 10min,Knockbacks / 10min,Sound Barriers / 10min,"Helix Rocket Accuracy, %",Long Range Kills / 10min,Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,Storm Arrow Kills / 10min,Dragonstrike Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Self Healing / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Rip Tire Kills,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,Energy Javelin Kills / 10min,Javelin Spin Kills / 10min,Terra Surge Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Death Blossom Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,"Airtime, %",Barrage Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,"Pummel Accuracy, %",Pummel Kills / 10min,Ravenous Vortex Kills / 10min,Annihilation Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,Minefield Kills,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Widowmaker,Gold,2.75,3.54,45.04,15.06,3.68,15,5468,,7.48,44,,,,,,,,,,,,,9.97,4.06,,,,,,,,,,,,,,,,,—,3.67,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Platinum,2.78,4.22,45.35,15.42,3.71,15,5578,,7.53,44,,,,,,,,,,,,,10.29,4.19,,,,,,,,,,,,,,,,,—,3.75,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Diamond,2.75,4.59,45.31,15.48,3.71,15,5597,,7.55,44,,,,,,,,,,,,,10.36,4.22,,,,,,,,,,,,,,,,,—,3.78,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Master,2.73,4.68,45.87,15.35,3.69,15,5544,,7.55,44,,,,,,,,,,,,,10.24,4.17,,,,,,,,,,,,,,,,,—,3.78,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Grandmaster,2.70,4.48,46.13,15.22,3.67,15,5506,,7.55,44,,,,,,,,,,,,,10.13,4.12,,,,,,,,,,,,,,,,,—,3.76,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Lucio,All,4.22,3.63,51.85,13.54,6.01,91,3759,7296,7.24,,,,,,,,,26,8,,,,,,,,,,,,,,,,,,,,,,,,,28.31,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Bronze,3.85,3.57,52.69,12.70,6.03,95,3493,7520,7.40,,,,,,,,,25,8,,,,,,,,,,,,,,,,,,,,,,,,,24.78,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Silver,3.96,3.40,52.61,12.94,6.08,95,3564,7526,7.37,,,,,,,,,25,8,,,,,,,,,,,,,,,,,,,,,,,,,25.81,10.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Gold,4.12,3.51,52.43,13.32,6.09,93,3675,7435,7.29,,,,,,,,,26,8,,,,,,,,,,,,,,,,,,,,,,,,,27.08,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Platinum,4.17,3.98,52.63,13.50,6.03,91,3728,7346,7.25,,,,,,,,,26,8,,,,,,,,,,,,,,,,,,,,,,,,,27.52,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Diamond,4.08,4.29,52.71,13.39,6.02,91,3694,7360,7.27,,,,,,,,,26,8,,,,,,,,,,,,,,,,,,,,,,,,,26.94,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Master,4.05,4.28,52.66,13.29,6.03,92,3665,7375,7.30,,,,,,,,,26,8,,,,,,,,,,,,,,,,,,,,,,,,,26.42,10.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Grandmaster,4.00,4.28,53.04,13.22,6.04,92,3643,7389,7.32,,,,,,,,,25,8,,,,,,,,,,,,,,,,,,,,,,,,,26.15,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Soldier: 76,All,3.28,3.38,48.02,20.61,7.77,49,8670,1436,8.25,,,,,,,,,34,7,,,,10.68,2.25,,,,,,,,,,,,,,,,,,,,,,57,1.23,7.05,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Bronze,3.00,3.18,48.26,19.60,7.76,52,8152,1425,8.47,,,,,,,,,32,7,,,,9.98,2.14,,,,,,,,,,,,,,,,,,,,,,55,1.11,6.48,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Silver,3.09,3.02,48.30,19.92,7.86,52,8282,1432,8.41,,,,,,,,,33,7,,,,10.17,2.16,,,,,,,,,,,,,,,,,,,,,,55,1.13,6.61,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Gold,3.20,3.21,48.58,20.43,7.82,50,8552,1447,8.29,,,,,,,,,33,7,,,,10.53,2.23,,,,,,,,,,,,,,,,,,,,,,56,1.19,6.91,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Platinum,3.27,3.58,48.94,20.64,7.73,48,8667,1449,8.23,,,,,,,,,34,7,,,,10.69,2.28,,,,,,,,,,,,,,,,,,,,,,57,1.24,7.06,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Diamond,3.20,3.74,48.79,20.53,7.71,48,8614,1450,8.27,,,,,,,,,34,7,,,,10.64,2.28,,,,,,,,,,,,,,,,,,,,,,56,1.24,7.01,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Master,3.16,3.79,48.88,20.37,7.70,49,8522,1447,8.30,,,,,,,,,34,7,,,,10.52,2.26,,,,,,,,,,,,,,,,,,,,,,56,1.22,6.92,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Grandmaster,3.13,3.65,49.16,20.25,7.71,49,8459,1448,8.33,,,,,,,,,33,7,,,,10.44,2.24,,,,,,,,,,,,,,,,,,,,,,56,1.20,6.85,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,All,3.37,4.04,46.39,17.47,5.98,39,7530,,7.81,,,,,,,,,30,11,,,,11.44,3.15,,,,,,,,,,,,,,,,,,2.76,,,,,2.47,,,5.40,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Bronze,3.10,3.33,46.56,16.39,5.86,40,7105,,7.86,,,,,,,,,30,10,,,,10.63,2.96,,,,,,,,,,,,,,,,,,2.54,,,,,2.37,,,5.04,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Silver,3.19,3.27,46.44,16.64,5.94,40,7202,,7.83,,,,,,,,,30,10,,,,10.81,3.00,,,,,,,,,,,,,,,,,,2.57,,,,,2.40,,,5.06,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Gold,3.28,3.53,46.44,17.16,5.97,39,7419,,7.81,,,,,,,,,30,10,,,,11.18,3.09,,,,,,,,,,,,,,,,,,2.70,,,,,2.44,,,5.28,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Platinum,3.35,4.13,46.72,17.52,5.95,38,7557,,7.81,,,,,,,,,30,11,,,,11.47,3.18,,,,,,,,,,,,,,,,,,2.79,,,,,2.46,,,5.46,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Diamond,3.30,4.25,46.55,17.48,5.91,38,7540,,7.83,,,,,,,,,30,11,,,,11.45,3.18,,,,,,,,,,,,,,,,,,2.80,,,,,2.45,,,5.50,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Master,3.25,4.16,46.80,17.30,5.87,38,7467,,7.84,,,,,,,,,30,10,,,,11.31,3.14,,,,,,,,,,,,,,,,,,2.76,,,,,2.44,,,5.46,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Grandmaster,3.23,4.06,46.76,17.17,5.85,38,7416,,7.84,,,,,,,,,30,10,,,,11.20,3.12,,,,,,,,,,,,,,,,,,2.75,,,,,2.42,,,5.43,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Zenyatta,All,5.72,3.61,52.00,14.77,5.86,54,5053,5697,7.10,,,,,,,516.11,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6.24,1269.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Bronze,5.28,3.25,52.17,13.87,5.71,55,4692,5541,7.29,,,,,,,488.32,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5.53,1203.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Silver,5.35,3.11,52.07,14.11,5.81,55,4777,5585,7.27,,,,,,,508.80,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5.61,1222.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Gold,5.58,3.33,52.35,14.49,5.85,55,4920,5674,7.15,,,,,,,487.14,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6.00,1255.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Platinum,5.71,3.94,52.33,14.70,5.82,54,5000,5712,7.06,,,,,,,472.75,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6.26,1267.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Diamond,5.62,4.17,52.27,14.56,5.76,53,4957,5687,7.08,,,,,,,461.20,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6.24,1254.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Master,5.54,4.08,52.54,14.49,5.74,53,4924,5656,7.11,,,,,,,452.85,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,6.13,1247.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Grandmaster,5.47,4.11,52.71,14.41,5.72,53,4889,5626,7.14,,,,,,,450.89,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,6.05,1234.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
D.Va,All,6.60,3.70,50.02,21.00,6.67,92,6913,,5.58,,,,,,,,,24,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,9.12,2.31,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Bronze,5.98,4.40,50.85,20.16,6.70,94,6506,,5.77,,,,,,,,,22,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,8.38,2.31,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Silver,6.19,4.07,50.80,20.49,6.77,94,6640,,5.72,,,,,,,,,23,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,8.65,2.31,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Gold,6.45,4.00,50.78,20.86,6.73,93,6810,,5.62,,,,,,,,,23,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,9.01,2.30,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Platinum,6.49,4.40,51.08,20.94,6.65,91,6849,,5.58,,,,,,,,,24,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,9.10,2.29,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Diamond,6.31,4.69,51.33,20.77,6.64,92,6757,,5.63,,,,,,,,,23,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,8.93,2.29,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Master,6.23,4.76,51.48,20.69,6.65,92,6704,,5.65,,,,,,,,,23,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,8.83,2.29,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Grandmaster,6.16,4.78,51.60,20.57,6.67,92,6647,,5.68,,,,,,,,,23,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,8.74,2.29,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,All,3.91,2.93,46.58,18.41,7.10,83,6994,,6.67,,,,,,,,,26,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,4314.16,10.15,50.04,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Bronze,3.51,2.81,46.68,17.09,6.86,84,6419,,6.88,,,,,,,,,25,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,4226.44,9.04,49.12,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Silver,3.64,2.78,46.57,17.43,7.02,85,6563,,6.80,,,,,,,,,25,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,4253.32,9.33,49.45,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Gold,3.83,2.96,46.63,18.09,7.08,83,6820,,6.72,,,,,,,,,26,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,4268.42,9.94,49.81,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Platinum,3.87,3.33,47.42,18.45,7.01,81,6959,,6.69,,,,,,,,,26,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,4291.98,10.20,49.98,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Diamond,3.77,3.45,47.43,18.20,6.93,81,6842,,6.74,,,,,,,,,26,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,4284.87,9.95,49.84,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Master,3.73,3.44,47.55,18.00,6.90,81,6755,,6.77,,,,,,,,,26,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,4268.96,9.74,49.72,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Grandmaster,3.66,3.33,47.43,17.83,6.88,81,6675,,6.79,,,,,,,,,26,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,4261.61,9.57,49.61,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Junkrat,All,2.89,2.81,47.84,17.57,6.47,43,7966,,8.24,,,,,,,,,24,,,,,11.30,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.48,4.90,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Bronze,2.70,2.99,47.94,16.94,6.57,46,7629,,8.40,,,,,,,,,23,,,,,10.81,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.11,4.82,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Silver,2.78,2.83,48.14,17.23,6.61,46,7771,,8.33,,,,,,,,,23,,,,,11.01,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.21,4.88,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Gold,2.85,2.78,48.06,17.50,6.49,44,7921,,8.25,,,,,,,,,23,,,,,11.24,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.35,4.90,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Platinum,2.84,2.98,48.24,17.51,6.40,43,7931,,8.24,,,,,,,,,23,,,,,11.26,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.40,4.90,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Diamond,2.77,3.13,47.99,17.36,6.40,43,7854,,8.29,,,,,,,,,23,,,,,11.15,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.34,4.87,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Master,2.74,3.25,48.24,17.25,6.42,43,7787,,8.31,,,,,,,,,23,,,,,11.07,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.26,4.86,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Grandmaster,2.73,3.32,48.29,17.21,6.44,44,7763,,8.33,,,,,,,,,23,,,,,11.03,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.24,4.86,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,All,2.77,2.62,45.92,18.54,6.44,56,6414,,8.39,,,,,,,,,32,8,,,,8.86,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.67,,,,,,,,4.83,1.55,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Bronze,2.51,2.23,46.83,17.38,6.33,58,5881,,8.56,,,,,,,,,31,8,,,,8.14,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.14,,,,,,,,4.66,1.43,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Silver,2.57,2.12,46.46,17.58,6.39,58,5990,,8.52,,,,,,,,,31,8,,,,8.23,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.56,,,,,,,,4.72,1.45,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Gold,2.67,2.26,46.40,18.21,6.49,57,6254,,8.44,,,,,,,,,32,8,,,,8.62,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.06,,,,,,,,4.81,1.52,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Platinum,2.72,2.75,46.95,18.57,6.48,56,6393,,8.42,,,,,,,,,32,8,,,,8.89,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.50,,,,,,,,4.83,1.55,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Diamond,2.72,2.96,46.86,18.66,6.45,55,6416,,8.43,,,,,,,,,32,8,,,,9.00,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.52,,,,,,,,4.84,1.55,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
